PlayerName,DUPR,Dink_Pct,Hard_Hit_Pct,Error_Rate,TotalShots,Playstyle_Cluster,PCA1,PCA2
AJ Koller,6.301,0.26462829357849443,0.7353717064215055,0.01629499674040978,1558.0,0,1.40010338621419,-0.517997385189526
AJ Smith,4.7,0.14906027606119945,0.8509397239388006,0.052640965906804095,654.0,2,-0.48593450026114055,0.206849684068795
Aaron Fuhrman,5.165,0.09230769230769231,0.9076923076923077,0.027454003987240908,65.0,2,-0.9792796503992506,-0.8478580743562715
Aaron Miller,5.11,0.12955465587044535,0.8704453441295547,0.012145748987854251,247.0,2,-0.3352705805421834,-1.1992847476922865
Aaron Reznik,4.954,0.3333333333333333,0.6666666666666666,0.01799435196885415,168.0,0,2.2869345130249608,-0.18493863453507056
Abby Brandenberger,5.17,0.246039056742815,0.753960943257185,0.04575704127431707,151.0,0,0.8592106823146471,0.3726955905101529
Abdullah Altayeh,4.035,0.06451612903225806,0.9354838709677419,0.021505376344086023,93.0,2,-1.2850915166589374,-1.1550399103904807
Abhijith Kurup,4.11,0.09288851245372985,0.9071114875462701,0.02221538334021583,392.0,2,-0.9189492782664225,-1.0172300295663406
Abigail Okelley,5.11,0.20714285714285716,0.7928571428571428,0.030377093466150612,140.0,0,0.5021577844978135,-0.288463696546665
Abraham Mejia,3.688,0.15089805211231977,0.8491019478876802,0.05429359764689139,126.0,2,-0.47837743395431426,0.2684402002922996
Adam Castle,3.887,0.016666666666666666,0.9833333333333333,0.03369428410690823,60.0,2,-2.0372194949564904,-0.9486635385168473
Adam Chuck,3.99,0.25882352941176473,0.7411764705882353,0.03529411764705882,85.0,0,1.132644058263539,0.08134125051544243
Adam Shrager,4.287,0.28859060402684567,0.7114093959731543,0.026845637583892617,149.0,0,1.6092494832521473,-0.0754245492045697
Adam Stone,6.3,0.26455026455026454,0.7354497354497355,0.015873015873015872,189.0,0,1.4033209723876368,-0.5321444855598012
Adam T,4.53,0.2,0.8,0.011111111111111112,90.0,0,0.6019548231117424,-0.9488180766036834
Addison Luelf,4.648,0.07207207207207207,0.9279279279279279,0.023215342991250863,111.0,2,-1.2028796330766665,-1.0684863261781978
Adrian Bedard,4.271,0.2048780487804878,0.7951219512195122,0.011037588787767307,205.0,0,0.6668726945177985,-0.9315358519412702
Aizec Olson,5.03,0.16216216216216217,0.8378378378378378,0.05405405405405406,111.0,2,-0.3277710838417193,0.30606032878741224
Al Mandia,4.455,0.0,1.0,0.010869565217391304,92.0,2,-2.026930240739003,-1.7641163910008142
Alan Pham,3.97,0.11842105263157894,0.881578947368421,0.06578947368421052,76.0,2,-1.0212861476263515,0.5141568433836448
Alec Allmon,4.56,0.22744301450183801,0.772556985498162,0.024332947930528433,750.0,0,0.8300288167485388,-0.40463488043265194
Alex Corado,5.33,0.2846970367094206,0.7153029632905794,0.022416057342530285,218.0,0,1.6025751216776831,-0.23633965079389446
Alex Dykstra,3.414,0.11702127659574468,0.8829787234042553,0.01942856279189309,94.0,2,-0.5734156584494369,-1.0111575415876493
Alex Edwards,4.11,0.06349206349206349,0.9365079365079365,0.04828055435736262,63.0,2,-1.56786292456234,-0.28151079314925037
Alex Guy,5.572,0.09011843079200592,0.909881569207994,0.017995928941524797,498.0,2,-0.9129558140265559,-1.1667220161210954
Alex Jantsch,5.063,0.10869565217391304,0.8913043478260869,0.026104117477508133,92.0,2,-0.7500934409005361,-0.8259493733211783
Alex Lynch,4.002,0.04091096107102582,0.9590890389289742,0.0576478855761548,153.0,2,-1.9591671673510787,-0.06561690899003468
Alex Peterson,3.932,0.06504463842586478,0.9349553615741353,0.07126524390243902,73.0,2,-1.7786107663086166,0.4781716064416479
Alex Shaffer,3.338,0.18803418803418803,0.811965811965812,0.02209480801360062,117.0,0,0.3340544052553747,-0.637088462792802
Alex Spancake,5.008,0.2278216754327484,0.7721783245672517,0.023230226297310523,5779.0,0,0.8461016021495189,-0.4392523592111648
Alex Szczepkowski,5.688,0.5288461538461539,0.47115384615384615,0.004807692307692308,208.0,0,4.991841294326122,0.1720824149117808
Alex Toth,5.455,0.03190789473684211,0.9680921052631579,0.02552729865931714,156.0,2,-1.7545556254863983,-1.1548416699967043
Alex Walker,6.11,0.10797007939150378,0.8920299206084962,0.08438816520338087,26.22799742555655,1,-1.3458462402898905,1.0816135126937734
Alex Wen,5.7,0.2011494252873563,0.7988505747126436,0.09369459756825543,104.0,1,-0.21352726162108587,1.7628249445289477
Alexander Aldighieri,4.352,0.2566137566137566,0.7433862433862434,0.06021119617131632,138.0,0,0.852961118868875,0.8891771659225672
Alexander Lewkowicz,4.921,0.13095238095238096,0.8690476190476191,0.023809523809523808,84.0,2,-0.4341927141186923,-0.8113155611713062
Alexandra McDonald,5.056,0.23333333333333334,0.7666666666666666,0.049494949494949494,100.0,0,0.6544519428125689,0.44392865139240545
Alfonso Ranaudo,4.74,0.2553191489361702,0.7446808510638298,0.0425531914893617,94.0,0,1.0135284272165648,0.3051394809384267
Alison Burkholder,6.11,0.3617021276595745,0.6382978723404256,0.015957446808510637,188.0,0,2.680657304290856,-0.13718423619327075
Alix Truong,5.817,0.18490126623813177,0.8150987337618683,0.037001360470610235,384.29543036761834,2,0.14290942094336934,-0.1611140991963299
Allen Sisavathvongsay,4.11,0.06228759959787375,0.9377124004021262,0.07467730050190428,210.0,1,-1.849201580950876,0.5788854606339496
Allison Harris,5.863,0.26711423049537175,0.7328857695046282,0.023344883545713555,200.0,0,1.3619037516887231,-0.2768737608116315
Allison Klink,4.469,0.2565088898422232,0.7434911101577768,0.013373517292456491,581.0,0,1.322663391714741,-0.6465377663054287
Alliver Verzon,4.382,0.2897196261682243,0.7102803738317757,0.04672897196261682,107.0,0,1.4241218130230602,0.5808887327471985
Allyce Jones,5.887,0.22246919755116604,0.7775308024488339,0.03166544547785636,5223.215296105786,0,0.690841960644883,-0.18436186858932654
Alyssa Bialek,4.909,0.24140335459359172,0.7585966454064083,0.01647459356763665,831.0,0,1.092736454596868,-0.60586721914051
Alyssa Lark,3.205,0.03758169934640523,0.9624183006535948,0.07571094220441575,124.0,1,-2.1846426618761017,0.5130318536269194
Amy Darlington,4.972,0.2602739726027397,0.7397260273972602,0.04103106330220714,73.0,0,1.094026117729426,0.27524780784663017
Anderson Scarpa,6.442,0.21442269987408616,0.7855773001259139,0.03609409297812059,793.5889234833462,0,0.5404353743239828,-0.0716782305813829
Andrea Koop,5.586,0.24874621853272577,0.7512537814672742,0.0331549789712457,815.867463140007,0,1.0215761239159364,-0.029458675852597486
Andrei Daescu,7.111,0.29411764705882354,0.7058823529411765,0.02137341316943911,102.0,0,1.7370047244967945,-0.2324863748013234
Andrei Volgin,4.677,0.13157894736842105,0.868421052631579,0.13157894736842105,38.0,1,-1.5098678471444875,2.7237861953812237
Andrew Baker,4.013,0.125,0.875,0.04791664214359669,88.0,2,-0.7549691663305281,-0.04513786674361904
Andrew Barker,3.929,0.14754098360655737,0.8524590163934426,0.04918032786885246,61.0,2,-0.4711169273387938,0.08728024320793558
Andrew Crocker,4.406,0.22740652008265086,0.7725934799173492,0.05810222012913098,326.0,0,0.48990556486809694,0.7021402776934663
